id;group_id;name;permission
1;7c9f0935-4d09-45a6-878c-f33c7a14882a;the how bless;true
2;cb5b85aa-4fb4-4339-a7ef-9c65f2b791d3;boohoo nocturnal;true
3;49d07660-f3e3-41cf-9e01-ac3702ace4ab;previous psst incubation;true
4;c338d36e-e901-4b0c-af97-7597e9860914;properly now round;true
5;94668987-87fb-4264-ad5a-48382ca07a5b;responsibility sturdy;true
6;7181911a-0e70-408b-8742-cbf12581a764;chief punctually;true
7;b7859518-3c16-4fe3-9c92-d13d54a0c384;why;true
8;456937fb-f588-41be-a059-54e872e71b0d;cocoa frankly ouch;false
9;56e37afc-12fd-47c9-a539-5d779f98058a;considering toast;false
10;e753520b-a0d8-43bc-ba21-0972010be769;lecture;false
